run,gate,time,speed,group_start,group_end,group
1,1+2,0.12,0.57,1,10,Run 1-10
1,3+4,0.03,2.73,1,10,Run 1-10
2,1+2,0.13,0.55,1,10,Run 1-10
2,3+4,0.03,2.68,1,10,Run 1-10
3,1+2,0.13,0.56,1,10,Run 1-10
3,3+4,0.03,2.67,1,10,Run 1-10
4,1+2,0.13,0.53,1,10,Run 1-10
4,3+4,0.03,2.71,1,10,Run 1-10
5,1+2,0.14,0.52,1,10,Run 1-10
5,3+4,0.03,2.7,1,10,Run 1-10
6,1+2,0.12,0.58,1,10,Run 1-10
6,3+4,0.03,2.77,1,10,Run 1-10
7,1+2,0.13,0.54,1,10,Run 1-10
7,3+4,0.03,2.82,1,10,Run 1-10
8,1+2,0.13,0.54,1,10,Run 1-10
8,3+4,0.03,2.82,1,10,Run 1-10
9,1+2,0.13,0.54,1,10,Run 1-10
9,3+4,0.03,2.83,1,10,Run 1-10
10,1+2,0.13,0.55,1,10,Run 1-10
10,3+4,0.02,2.85,1,10,Run 1-10
11,1+2,0.13,0.54,11,20,Run 11-20
11,3+4,0.03,2.8,11,20,Run 11-20
12,1+2,0.13,0.54,11,20,Run 11-20
12,3+4,0.03,2.79,11,20,Run 11-20
13,1+2,0.12,0.57,11,20,Run 11-20
13,3+4,0.03,2.79,11,20,Run 11-20
14,1+2,0.13,0.55,11,20,Run 11-20
14,3+4,0.02,2.85,11,20,Run 11-20
15,1+2,0.13,0.55,11,20,Run 11-20
15,3+4,0.03,2.81,11,20,Run 11-20
16,1+2,0.13,0.54,11,20,Run 11-20
16,3+4,0.03,2.79,11,20,Run 11-20
17,1+2,0.13,0.55,11,20,Run 11-20
17,3+4,0.03,2.8,11,20,Run 11-20
18,1+2,0.13,0.56,11,20,Run 11-20
18,3+4,0.03,2.76,11,20,Run 11-20
19,1+2,0.13,0.56,11,20,Run 11-20
19,3+4,0.03,2.82,11,20,Run 11-20
20,1+2,0.13,0.53,11,20,Run 11-20
20,3+4,0.02,2.83,11,20,Run 11-20
21,1+2,0.13,0.56,21,30,Run 21-30
21,3+4,0.03,2.59,21,30,Run 21-30
22,1+2,0.13,0.56,21,30,Run 21-30
22,3+4,0.03,2.65,21,30,Run 21-30
23,1+2,0.13,0.56,21,30,Run 21-30
23,3+4,0.03,2.68,21,30,Run 21-30
24,1+2,0.13,0.56,21,30,Run 21-30
24,3+4,0.03,2.69,21,30,Run 21-30
25,1+2,0.14,0.52,21,30,Run 21-30
25,3+4,0.03,2.67,21,30,Run 21-30
26,1+2,0.13,0.54,21,30,Run 21-30
26,3+4,0.03,2.67,21,30,Run 21-30
27,1+2,0.13,0.53,21,30,Run 21-30
27,3+4,0.03,2.68,21,30,Run 21-30
28,1+2,0.12,0.59,21,30,Run 21-30
28,3+4,0.03,2.71,21,30,Run 21-30
29,1+2,0.14,0.52,21,30,Run 21-30
29,3+4,0.03,2.71,21,30,Run 21-30
30,1+2,0.13,0.56,21,30,Run 21-30
30,3+4,0.03,2.69,21,30,Run 21-30
31,1+2,0.13,0.56,31,40,Run 31-40
31,3+4,0.03,2.62,31,40,Run 31-40
32,1+2,0.13,0.54,31,40,Run 31-40
32,3+4,0.03,2.69,31,40,Run 31-40
33,1+2,0.14,0.52,31,40,Run 31-40
33,3+4,0.03,2.71,31,40,Run 31-40
34,1+2,0.13,0.53,31,40,Run 31-40
34,3+4,0.03,2.74,31,40,Run 31-40
35,1+2,0.13,0.55,31,40,Run 31-40
35,3+4,0.03,2.72,31,40,Run 31-40
36,1+2,0.13,0.53,31,40,Run 31-40
36,3+4,0.03,2.73,31,40,Run 31-40
37,1+2,0.13,0.54,31,40,Run 31-40
37,3+4,0.03,2.71,31,40,Run 31-40
38,1+2,0.13,0.55,31,40,Run 31-40
38,3+4,0.03,2.71,31,40,Run 31-40
39,1+2,0.14,0.52,31,40,Run 31-40
39,3+4,0.03,2.7,31,40,Run 31-40
40,1+2,0.13,0.56,31,40,Run 31-40
40,3+4,0.03,2.69,31,40,Run 31-40
41,1+2,0.13,0.53,41,50,Run 41-50
41,3+4,0.02,2.95,41,50,Run 41-50
42,1+2,0.13,0.53,41,50,Run 41-50
42,3+4,0.02,3.04,41,50,Run 41-50
43,1+2,0.13,0.56,41,50,Run 41-50
43,3+4,0.02,3.09,41,50,Run 41-50
44,1+2,0.13,0.55,41,50,Run 41-50
44,3+4,0.02,3.08,41,50,Run 41-50
45,1+2,0.13,0.56,41,50,Run 41-50
45,3+4,0.02,3.02,41,50,Run 41-50
46,1+2,0.13,0.55,41,50,Run 41-50
46,3+4,0.02,3.09,41,50,Run 41-50
